prototype,rho,sigma,q,q_rg,n_nodes,feature
1824,3,1,0.36620409621362804,0.00020181100974642842,3,AgeBand
1530,4,1,0.346573590266677,0.00019662542256904537,4,AgeBand
1731,2,1,0.3465735902665037,7.15868245255602e-05,2,AgeBand
1525,8,5,0.2937522682619284,0.0002863172824707624,8,AgeBand
1390,3,2,0.2703100720544213,0.00010875707111412464,3,AgeBand
1589,4,3,0.2157615543191521,0.00021025858821895518,4,AgeBand
1424,6,3,0.20273255402824292,0.00018738392373159938,6,AgeBand
953,10,2,0.1832581463642602,0.00035434360706813173,10,AgeBand
1326,6,2,0.18310204810250746,0.00019791217889111116,6,AgeBand
617,14,4,0.18132626743468733,0.000701637962066241,14,AgeBand
809,12,4,0.1807354252256249,0.0006550343953284157,12,AgeBand
1603,5,4,0.17851484103055057,0.0003162429135708616,5,AgeBand
1367,18,4,0.15403270677951666,0.0005364940636373223,18,AgeBand
1467,16,4,0.14384103621284,0.0005383483445873311,16,AgeBand
1908,14,5,0.12389122743690381,0.00046838080665396407,14,AgeBand
992,9,2,0.11802718271626303,0.00036375016256478057,9,AgeBand
1304,16,5,0.11159571424555462,0.0006133152706229342,16,AgeBand
1031,32,3,0.10904538841430514,0.0016105286639155087,32,AgeBand
1533,18,7,0.10194630697443241,0.0005358046136084655,18,AgeBand
174,67,10,0.09971393390441484,0.002244127702856223,67,AgeBand
1246,6,2,0.09796444415035317,0.0002750580201551242,7,AgeBand
798,11,1,0.09196371923874745,0.00038035245495991884,11,AgeBand
376,17,2,0.08867903556761236,0.0006123340767510835,17,AgeBand
863,26,7,0.08056966565072002,0.0008090274489740158,26,AgeBand
74,26,3,0.07997852082778405,0.0007430932313755098,26,AgeBand
659,22,13,0.07934579157267124,0.0007607049099198377,22,AgeBand
119,26,11,0.07898474894026696,0.0008512888715709348,26,AgeBand
1673,14,9,0.07385764367686962,0.0005177076133002916,14,AgeBand
60,20,4,0.07197694377664975,0.0005574886784763429,20,AgeBand
1480,4,2,0.07192051811294521,0.00029406146869565334,4,AgeBand
988,12,3,0.07192051810019887,0.0004085176430082795,12,AgeBand
851,14,2,0.07153203858294709,0.0004539745426433343,14,AgeBand
460,35,3,0.06709365764545747,0.001147272511712583,35,AgeBand
417,46,8,0.06448342124296882,0.001299358498996804,46,AgeBand
349,37,5,0.06424644549511575,0.0014422271274114377,39,AgeBand
986,19,2,0.061598899315064,0.0006353333869430968,19,AgeBand
912,17,7,0.06059832082653018,0.0007080732258458299,17,AgeBand
38,39,6,0.05969079202972455,0.0010986455524479525,39,AgeBand
1337,31,6,0.05795594760130061,0.0010062238315557755,31,AgeBand
55,22,12,0.046437221017557796,0.0006967877843968007,22,AgeBand
1014,101,4,0.0347505306338728,0.0028387676107750597,101,AgeBand
1287,55,10,0.032847033196913226,0.0015507271415754265,55,AgeBand
996,58,2,0.02901955812501704,0.0019443228484909512,58,AgeBand
88,48,4,0.028736707186803732,0.0016733908046869484,48,AgeBand
496,140,3,0.010851154769145768,0.004640414897136624,140,AgeBand
1476,143,32,0.008338079365119658,0.0041549870665358955,143,AgeBand
127,714,9,0.0020071342090423696,0.024966348872011417,714,AgeBand
